Company Name;Nome;Código CVM;CNPJ;Segmento;Tickers
AXS ENERGIA UNIDADE 06 S.A.;AXS ENERG;900174;42030202000126;Não Classificados;N/A
AXS ENERGIA UNIDADE 07 S.A;AXS VII;900239;50059636000187;Não Classificados;N/A
AXS ENERGIA UNIDADE 08 S.A;AXS VIII;900323;50117806000132;Não Classificados;N/A
AXS ENERGIA UNIDADE 09 S.A.;AXS ENERGIA9;900410;50059431000100;Não Classificados;N/A
AXS ENERGIA UNIDADE 10 SPE S.A ;AXS 10SPE;900401;50117634000105;Não Classificados;N/A
AXS PARTICIPAÇÕES S.A. ;AXS PART;900003;48759193000195;Não Classificados;N/A
AZEVEDO & TRAVASSOS ENERGIA S.A.;AZT ENERGIA;27626;52017473000103;Exploração e/ou Refino;N/A
AZEVEDO E TRAVASSOS S.A.;AZEVEDO;11975;61351532000168;Construção Pesada;AZEV3, AZEV4, AZEV11, AZEV12
AZUL LINHAS AEREAS BRASILEIRAS S.A.;AZULAEREAS;900506;9296295000160;Não Classificados;N/A
AZUL S.A.;AZUL;24112;9305994000129;Transporte Aéreo;AZUL4
AZZAS 2154 S.A.;AZZAS 2154;22349;16590234000176;Tecidos. Vestuário e Calçados;AZZA3
B.A. -EMPREENDIMENTOS E PARTICIPACOES S/A;B A EMPREEND;917634;10468152000177;Não Classificados;N/A
